product_id,merchant_id,price,retail_price,currency_buyer,units_sold,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,product_color,product_variation_inventory,shipping_option_name,shipping_option_price,countries_shipped_to,inventory_total,origin_country,merchant_title,merchant_rating
5e9ae51d43d6a96e303acdb0,595097d6a26f6e070cb878d1,16,14,EUR,100,3.76,54,26,8,10,1,9,white,50,Standard Shipping,4,34,50,CN,zgrdejia,4.128521127
58940d436a0d3d5da4e95a38,56458aa03a698c35c9050988,8,22,EUR,20000,3.45,6135,2269,1027,1118,644,1077,green,50,Standard Shipping,2,41,50,CN,SaraHouse,3.899673276
5ea10e2c617580260d55310a,5d464a1ffdf7bc44ee933c65,8,43,EUR,100,3.57,14,5,4,2,0,3,leopardprint,1,Standard Shipping,3,36,50,CN,hxt520,3.989830508
5cedf17ad1d44c52c59e4aca,58cfdefdacb37b556efdff7c,8,8,EUR,5000,4.03,579,295,119,87,42,36,black,50,Standard Shipping,2,41,50,CN,allenfan,4.02043471
5ebf5819ebac372b070b0e70,5ab3b592c3911a095ad5dadb,2.72,3,EUR,100,3.1,20,6,4,2,2,6,yellow,1,Standard Shipping,1,35,50,CN,youngpeopleshop,4.001588178
5ec645bafd107a02279c8c54,5e4b9c3801ba9d210036fc5a,3.92,9,EUR,10,5,1,1,0,0,0,0,navyblue,1,Standard Shipping,1,40,50,CN,zhoulinglinga,3.507692308
5c63a337d5e2ce4bbb3152cf,5652f4053a698c76dc9a3f37,7,6,EUR,50000,3.84,6742,3172,1352,971,490,757,white,50,Standard Shipping,2,31,50,CN,Unique Li Fashion Shop,4.076515597
5e0ae5ebc2efb76ccf0a3391,5d45349676befe65691dcfbb,12,11,EUR,1000,3.76,286,120,56,61,18,31,blue,50,Standard Shipping,3,139,50,CN,So Band,3.68128655
5e6f1fb7fe4a5bb4b8bf36e5,5d42980e8388970d32294ddc,11,84,EUR,100,3.47,15,6,2,3,1,3,black,50,Standard Shipping,2,36,50,CN,chenxiangjunjun,3.803030303
5ccfaf238a8d535cec2dfb47,5ba2251b4315d12ebce873fa,5.78,22,EUR,5000,3.6,687,287,128,92,68,112,beige,50,Standard Shipping,2,33,50,CN,Luowei clothe,3.999819299
5cac5af68de7960d89e54fe0,5952a218e81e8a4c30b5bbbc,5.79,5,EUR,1000,3.46,613,245,101,81,61,125,grey,2,Standard Shipping,2,25,50,CN,mayuhiao,3.956810982
5ec49d527d7044ccfa3f1c04,56cd27b048e91e13aa3986e4,6,8,EUR,100,3.31,13,3,4,3,0,3,lightblue,2,Standard Shipping,2,40,50,CN,lanniesdesign,3.983783784
5e9da39dc737cf255eddd4bf,5d3c419de4b65d4fb81e7286,1.91,6,EUR,1000,3.45,141,49,29,24,14,25,orange,1,Standard Shipping,1,38,50,CN,easymarket,4.123877917
5d1db3c0e2b5cc0f74e091af,566eaa533a698c6442549a74,5.79,42,EUR,1000,3.32,121,36,24,23,19,19,red,50,Standard Shipping,2,43,50,CN,Molesfashion,3.947471965
5cc2ce18bc97595b6549fa14,5926c5ace8ff5525241b368d,2,2,EUR,20000,3.65,2457,984,481,459,206,327,yellow,1,Standard Shipping,1,36,50,CN,Pentiumhorse,4.138885385
5c85d47641ec3b55d4d14f79,566012f6769a5629aefca555,11,81,EUR,1000,3.92,426,204,94,62,21,45,Black,50,Standard Shipping,3,41,50,CN,Petha's boutique,4.066326401
5cd3e795ebe403118bbc0f89,5b8beef49996c87b299cdbec,11,10,EUR,10000,3.72,2058,840,435,386,158,239,red,50,Standard Shipping,2,34,50,CN,2312hangm,3.958425897
5b07a7c6e997b33c6f9947da,5708773c3c02161b3f8c7900,5,25,EUR,100000,3.83,17980,8290,3483,2951,1410,1846,white,50,Standard Shipping,1,41,50,CN,leiston,3.933581377
5a8f82375e2ae101c8913122,59cdc2112351344fc0dfa54f,9,9,EUR,20000,3.82,5479,2456,1162,853,431,577,blue,50,Standard Shipping,3,43,50,CN,centper3,4.081624338
5cf648ce373ac2069fd6317d,5ae296b6cd968d66be12d247,7,7,EUR,1000,3.67,214,87,36,49,17,25,red,7,Standard Shipping,2,41,50,CN,chenqinq,4.062360802
57416238fc6f7d5d698f3c9f,5576bb43de4a8c24953ae98f,11,10,EUR,5000,3.84,1183,506,274,216,81,106,green,50,Standard Shipping,3,69,50,CN,uranus,4.25659706
5c244b73e6a1c618296f73db,55ed5a3362e273427107759e,5,6,EUR,20000,3.6,3552,1437,632,610,358,515,black,11,Standard Shipping,2,41,50,CN,Oucho co. ltd.,3.981336637
5e1056784fff5f26e6f1745d,5ae93337d204cc177313f242,11,26,EUR,1000,3.38,72,27,11,11,8,15,armygreen,2,Standard Shipping,2,51,50,CN,huaxianglarou,4.231842338
5d15731024c17f6b8b9bd97a,5cb636dda7173671aedef051,7,6,EUR,5000,3.67,510,213,98,85,45,69,armygreen,50,Standard Shipping,2,138,50,CN,Pure Fashion,4.264658502
5c63adf7edc5d6528e8b1ca3,583138b06339b410ab9663ec,5.71,5,EUR,1000,3.75,678,290,145,104,61,78,black,19,Standard Shipping,2,43,50,CN,sjhdstoer,4.00669222
5bed2a42bdf0421a30e62c6c,575cfe470551415caa5505b5,9,32,EUR,1000,4.15,567,323,116,58,28,42,armygreen,50,Standard Shipping,3,41,50,CN,terbuer,4.110058542
5b5edbae1e222732845e655f,5a0fe8770a332a615df86c5e,9,9,EUR,1000,4.03,216,105,48,39,12,12,,5,Standard Shipping,3,60,50,US,coaluss,4.229409027
5a4f2d8f5dcd0221008b2c36,56c6f731bc435416ed5984d7,5.65,5,EUR,20000,4.29,2996,1781,628,374,104,109,white,50,Standard Shipping,2,43,50,CN,happyshoooping,4.017487727
5e5e09065b03ef0b420f333f,58ba636a69ad29505a730852,1.74,2,EUR,100,4.25,12,7,3,1,0,1,pink,50,Standard Shipping,1,41,50,CN,Memo2,3.831513949
5cc0049aca0c3b3d01a87964,5adef3559d5e9767b3177472,5.65,6,EUR,1000,4.06,301,156,70,34,18,23,white,50,Standard Shipping,2,54,50,CN,meiximeiyo,4.060278647
5c9d920da94960780239d468,539937d634067e06707b1a8e,14,76,EUR,100,4.06,31,17,4,6,3,1,,50,Standard Shipping,4,36,50,CN,HOT DRESS,3.9682688
5c9ee457c233fd74ef4c8a84,54d30f53dc8ce133f79b434d,5.65,6,EUR,1000,4.37,217,137,42,24,9,5,black,10,Standard Shipping,2,38,50,CN,New Fashion Shopping Park,4.065905391
5dc4488112f5e91a9d4bb52e,5d49403060c79c113a908720,8,7,EUR,1000,3.81,443,215,76,65,29,58,khaki,4,Standard Shipping,2,46,50,CN,Kallyett,3.870809249
5b582d5ec4561c4f6b53feeb,547bdd648edcfa5656cac810,2.66,3,EUR,5000,3.44,1136,418,187,201,133,197,black,50,Standard Shipping,1,22,50,CN,Faringoto,4.306362806
5cae1d6c836ecb39e57e9e80,582833faea77701b456c786a,9,8,EUR,10000,3.8,1231,555,240,211,87,138,yellow,50,Standard Shipping,3,45,50,CN,Sangboo Store,3.86754717
5b10cf0b7cc4492c87411045,559d33adc605853731afbf10,11,10,EUR,1000,4.16,274,162,47,34,10,21,white,50,Standard Shipping,3,31,50,CN,Lin Fashion Store,4.00014341
5eb4dcebdaa4b90940076979,5684eae9daaaee26a0fdadba,8,17,EUR,100,2.75,8,2,0,3,0,3,blue,50,Standard Shipping,3,40,50,CN,Unnistore,4.025364207
5c80e8a150c63d28c67b8f14,583138b06339b410ab9663ec,14,12,EUR,5000,4.06,643,365,109,73,33,63,navyblue,2,Standard Shipping,3,43,50,CN,sjhdstoer,4.00669222
5e7adc5458a95b3323a3c6eb,55dc3dcd8950c811f73a48a4,5.8,8,EUR,100,3.83,6,3,1,1,0,1,armygreen,1,Standard Shipping,1,43,50,CN,Cuetaes,3.920852996
5d2fd5a9af7a0c5b21369a05,55ed5a3362e273427107759e,13,13,EUR,1000,4.16,138,82,27,10,7,12,pink,50,Standard Shipping,3,41,50,CN,Oucho co. ltd.,3.981336637
556fbe8595528719e004fa27,54bcaabb39b8c00b482a115f,9,81,EUR,50000,4.26,5359,3111,1172,650,204,222,black,50,Standard Shipping,3,40,50,CN,Fashionshow68,4.105054225
5ea69521f5e1e65a3c70faa8,5d48eef4b5144c50c2ac0af3,7,68,EUR,10,1.5,2,0,0,0,1,1,white,50,Standard Shipping,2,43,50,CN,wenj498,3.858942065
5ea7e2d999ecf941204c42ee,5e5c7c2c77179e31406eece1,12,14,EUR,100,3.79,24,11,6,2,1,4,black,50,Standard Shipping,3,22,50,CN,baijupingshop,4.020408163
5e702eb03aa1f42076ffabc9,58501ac7b9e3474c9f4b2afd,3.69,40,EUR,100,3.53,59,22,11,12,4,10,grey,2,Standard Shipping,1,24,50,CN,wuewi,4.364843822
57d3bc906cfeb9135f44ded5,56e6928521790d587623b3b4,5,5,EUR,10000,3.82,3208,1467,607,558,241,335,white,50,Standard Shipping,1,63,50,CN,Brittany,4.151395306
5c136c3cb870cf4e458afee4,56c6f731bc435416ed5984d7,5.84,56,EUR,100,3.28,36,11,4,11,4,6,armygreen,50,Standard Shipping,1,43,50,CN,happyshoooping,4.017487727
5e9a74e447f7d92c8db8d14b,5e61c817039ce2184a0ed392,16,14,EUR,10,3,3,0,2,0,0,1,green,2,Standard Shipping,4,34,50,CN,qiaopiaduxiu,3.548387097
5af6bc9c13927d50370db58a,57108cd6a995b507211ef8fb,13,50,EUR,1000,4.03,855,451,165,120,51,68,red & blue,50,Standard Shipping,3,32,50,CN,Knights,4.085704904
5d1573a55a16864c5de706ab,5b160017daac45594728d9ba,9,8,EUR,10000,3.18,1783,535,289,344,189,426,white,50,Standard Shipping,3,24,50,CN,fengjinying,3.908535421
5c9212fc8de79667e3c7ca59,59257409b674b15e8191b8de,7,6,EUR,100,3.8,61,28,11,12,2,8,black,50,Standard Shipping,2,45,50,CN,enjoy the sunshine,4.216385998
